trial_id,baseline
france-injected-0,False
france-injected-1,False
france-injected-10,False
france-injected-100,False
france-injected-101,False
france-injected-102,False
france-injected-103,False
france-injected-104,False
france-injected-105,False
france-injected-106,False
france-injected-107,False
france-injected-108,True
france-injected-109,False
france-injected-11,False
france-injected-110,False
france-injected-111,True
france-injected-112,False
france-injected-113,False
france-injected-114,False
france-injected-115,False
france-injected-116,False
france-injected-117,False
france-injected-118,True
france-injected-119,False
france-injected-12,False
france-injected-120,False
france-injected-121,False
france-injected-122,False
france-injected-123,False
france-injected-124,False
france-injected-125,False
france-injected-126,False
france-injected-127,False
france-injected-128,False
france-injected-129,False
france-injected-13,False
france-injected-130,True
france-injected-131,False
france-injected-132,False
france-injected-133,False
france-injected-134,False
france-injected-135,False
france-injected-136,False
france-injected-137,False
france-injected-138,False
france-injected-139,False
france-injected-14,False
france-injected-140,True
france-injected-141,False
france-injected-142,False
france-injected-143,False
france-injected-144,True
france-injected-145,False
france-injected-146,False
france-injected-147,False
france-injected-148,False
france-injected-149,False
france-injected-15,False
france-injected-150,True
france-injected-151,False
france-injected-152,False
france-injected-153,False
france-injected-154,False
france-injected-155,False
france-injected-156,False
france-injected-157,True
france-injected-158,False
france-injected-159,False
france-injected-16,False
france-injected-160,False
france-injected-161,True
france-injected-162,False
france-injected-163,False
france-injected-164,False
france-injected-165,False
france-injected-166,False
france-injected-167,False
france-injected-168,True
france-injected-169,False
france-injected-17,False
france-injected-170,False
france-injected-171,False
france-injected-172,False
france-injected-173,False
france-injected-174,False
france-injected-175,False
france-injected-176,True
france-injected-177,True
france-injected-178,True
france-injected-179,False
france-injected-18,False
france-injected-180,False
france-injected-181,False
france-injected-182,False
france-injected-183,False
france-injected-184,False
france-injected-185,False
france-injected-186,False
france-injected-187,False
france-injected-188,False
france-injected-189,False
france-injected-19,False
france-injected-190,False
france-injected-191,False
france-injected-192,False
france-injected-193,False
france-injected-194,False
france-injected-195,True
france-injected-196,False
france-injected-197,False
france-injected-198,False
france-injected-199,False
france-injected-2,False
france-injected-20,False
france-injected-21,False
france-injected-22,True
france-injected-23,False
france-injected-24,False
france-injected-25,False
france-injected-26,False
france-injected-27,False
france-injected-28,False
france-injected-29,False
france-injected-3,False
france-injected-30,False
france-injected-31,False
france-injected-32,False
france-injected-33,False
france-injected-34,False
france-injected-35,False
france-injected-36,False
france-injected-37,False
france-injected-38,False
france-injected-39,False
france-injected-4,False
france-injected-40,False
france-injected-41,False
france-injected-42,False
france-injected-43,False
france-injected-44,False
france-injected-45,False
france-injected-46,False
france-injected-47,False
france-injected-48,False
france-injected-49,False
france-injected-5,False
france-injected-50,False
france-injected-51,False
france-injected-52,True
france-injected-53,False
france-injected-54,False
france-injected-55,False
france-injected-56,False
france-injected-57,True
france-injected-58,False
france-injected-59,False
france-injected-6,False
france-injected-60,False
france-injected-61,False
france-injected-62,False
france-injected-63,False
france-injected-64,True
france-injected-65,True
france-injected-66,True
france-injected-67,False
france-injected-68,False
france-injected-69,False
france-injected-7,True
france-injected-70,False
france-injected-71,False
france-injected-72,False
france-injected-73,False
france-injected-74,False
france-injected-75,False
france-injected-76,False
france-injected-77,False
france-injected-78,False
france-injected-79,True
france-injected-8,False
france-injected-80,False
france-injected-81,False
france-injected-82,False
france-injected-83,True
france-injected-84,False
france-injected-85,False
france-injected-86,False
france-injected-87,False
france-injected-88,False
france-injected-89,True
france-injected-9,False
france-injected-90,False
france-injected-91,False
france-injected-92,False
france-injected-93,False
france-injected-94,False
france-injected-95,False
france-injected-96,False
france-injected-97,False
france-injected-98,False
france-injected-99,False
italy-injected-0,False
italy-injected-1,False
italy-injected-10,False
italy-injected-100,False
italy-injected-101,False
italy-injected-102,False
italy-injected-103,False
italy-injected-104,False
italy-injected-105,False
italy-injected-106,False
italy-injected-107,False
italy-injected-108,False
italy-injected-109,False
italy-injected-11,False
italy-injected-110,False
italy-injected-111,True
italy-injected-112,False
italy-injected-113,False
italy-injected-114,False
italy-injected-115,False
italy-injected-116,False
italy-injected-117,False
italy-injected-118,True
italy-injected-119,False
italy-injected-12,False
italy-injected-120,False
italy-injected-121,False
italy-injected-122,True
italy-injected-123,False
italy-injected-124,False
italy-injected-125,False
italy-injected-126,False
italy-injected-127,True
italy-injected-128,False
italy-injected-129,False
italy-injected-13,False
italy-injected-130,True
italy-injected-131,False
italy-injected-132,False
italy-injected-133,False
italy-injected-134,False
italy-injected-135,False
italy-injected-136,False
italy-injected-137,False
italy-injected-138,False
italy-injected-139,False
italy-injected-14,False
italy-injected-140,True
italy-injected-141,False
italy-injected-142,False
italy-injected-143,True
italy-injected-144,False
italy-injected-145,False
italy-injected-146,False
italy-injected-147,True
italy-injected-148,False
italy-injected-149,False
italy-injected-15,False
italy-injected-150,False
italy-injected-151,False
italy-injected-152,False
italy-injected-153,False
italy-injected-154,False
italy-injected-155,False
italy-injected-156,False
italy-injected-157,True
italy-injected-158,False
italy-injected-159,False
italy-injected-16,False
italy-injected-160,False
italy-injected-161,False
italy-injected-162,False
italy-injected-163,False
italy-injected-164,False
italy-injected-165,False
italy-injected-166,False
italy-injected-167,False
italy-injected-168,True
italy-injected-169,False
italy-injected-17,False
italy-injected-170,False
italy-injected-171,False
italy-injected-172,False
italy-injected-173,False
italy-injected-174,False
italy-injected-175,False
italy-injected-176,True
italy-injected-177,False
italy-injected-178,False
italy-injected-179,False
italy-injected-18,False
italy-injected-180,False
italy-injected-181,False
italy-injected-182,False
italy-injected-183,False
italy-injected-184,False
italy-injected-185,False
italy-injected-186,False
italy-injected-187,False
italy-injected-188,False
italy-injected-189,False
italy-injected-19,False
italy-injected-190,False
italy-injected-191,False
italy-injected-192,False
italy-injected-193,False
italy-injected-194,False
italy-injected-195,False
italy-injected-196,False
italy-injected-197,False
italy-injected-198,False
italy-injected-199,False
italy-injected-2,False
italy-injected-20,False
italy-injected-21,False
italy-injected-22,True
italy-injected-23,False
italy-injected-24,False
italy-injected-25,True
italy-injected-26,False
italy-injected-27,False
italy-injected-28,False
italy-injected-29,False
italy-injected-3,False
italy-injected-30,False
italy-injected-31,False
italy-injected-32,False
italy-injected-33,True
italy-injected-34,False
italy-injected-35,False
italy-injected-36,False
italy-injected-37,False
italy-injected-38,False
italy-injected-39,False
italy-injected-4,False
italy-injected-40,False
italy-injected-41,False
italy-injected-42,True
italy-injected-43,False
italy-injected-44,False
italy-injected-45,False
italy-injected-46,False
italy-injected-47,False
italy-injected-48,False
italy-injected-49,False
italy-injected-5,False
italy-injected-50,False
italy-injected-51,False
italy-injected-52,False
italy-injected-53,False
italy-injected-54,False
italy-injected-55,False
italy-injected-56,False
italy-injected-57,False
italy-injected-58,False
italy-injected-59,False
italy-injected-6,True
italy-injected-60,False
italy-injected-61,False
italy-injected-62,False
italy-injected-63,False
italy-injected-64,False
italy-injected-65,True
italy-injected-66,True
italy-injected-67,False
italy-injected-68,False
italy-injected-69,False
italy-injected-7,True
italy-injected-70,False
italy-injected-71,False
italy-injected-72,False
italy-injected-73,False
italy-injected-74,False
italy-injected-75,False
italy-injected-76,False
italy-injected-77,False
italy-injected-78,False
italy-injected-79,False
italy-injected-8,False
italy-injected-80,False
italy-injected-81,False
italy-injected-82,False
italy-injected-83,True
italy-injected-84,False
italy-injected-85,False
italy-injected-86,False
italy-injected-87,False
italy-injected-88,False
italy-injected-89,False
italy-injected-9,False
italy-injected-90,False
italy-injected-91,False
italy-injected-92,False
italy-injected-93,False
italy-injected-94,False
italy-injected-95,False
italy-injected-96,False
italy-injected-97,False
italy-injected-98,False
italy-injected-99,False
japan-injected-0,False
japan-injected-1,False
japan-injected-10,False
japan-injected-100,True
japan-injected-101,False
japan-injected-102,False
japan-injected-103,False
japan-injected-104,False
japan-injected-105,False
japan-injected-106,False
japan-injected-107,False
japan-injected-108,True
japan-injected-109,False
japan-injected-11,False
japan-injected-110,False
japan-injected-111,True
japan-injected-112,False
japan-injected-113,False
japan-injected-114,False
japan-injected-115,False
japan-injected-116,False
japan-injected-117,False
japan-injected-118,True
japan-injected-119,False
japan-injected-12,True
japan-injected-120,False
japan-injected-121,False
japan-injected-122,False
japan-injected-123,False
japan-injected-124,False
japan-injected-125,False
japan-injected-126,False
japan-injected-127,True
japan-injected-128,False
japan-injected-129,False
japan-injected-13,False
japan-injected-130,True
japan-injected-131,False
japan-injected-132,False
japan-injected-133,False
japan-injected-134,False
japan-injected-135,False
japan-injected-136,False
japan-injected-137,False
japan-injected-138,False
japan-injected-139,False
japan-injected-14,True
