trial_id,baseline
france-injected-0,False
france-injected-1,False
france-injected-10,False
france-injected-11,True
france-injected-2,False
france-injected-3,False
france-injected-4,False
france-injected-5,False
france-injected-6,True
france-injected-7,False
france-injected-8,False
france-injected-9,False
italy-injected-0,False
italy-injected-1,False
italy-injected-10,False
italy-injected-11,False
italy-injected-2,False
italy-injected-3,False
italy-injected-4,False
italy-injected-5,True
italy-injected-6,True
italy-injected-7,False
italy-injected-8,False
italy-injected-9,False
japan-injected-0,False
japan-injected-1,False
japan-injected-10,False
japan-injected-11,False
japan-injected-2,False
japan-injected-3,False
japan-injected-4,False
japan-injected-5,True
japan-injected-6,True
japan-injected-7,False
japan-injected-8,False
japan-injected-9,False
